Verkooporderregel artikel.Artikel.Artikelcode,Omschrijving_standaard_artikelen,Priority,ArticleType,Aantal_orders_5jr,Totale_kosten_5jr,Aantal_klantlocaties_5jr,Annual_Use,Annual_Use_genormaliseerd,Aandeel_pct,Cumulatief_pct,ABC_categorie,Aandeel,Cumulatief_aandeel,Totaal_orders_5jr,Gem_orders_per_klantlocatie_5jr,Max_orders_op_1_klantlocatie_5jr,Aantal_klantlocaties_met_orders_5jr,Incourant,Artikelcode,Standaard verkoopprijs,Engineering status,Hoofdleverancier.Relatie,Artikelgroep,Inkoopprijs (standaard),Hoofdleverancier.Levertijd,MTBF(years),Hoofdleverancier.Bestelhoeveelheid,Laatste_order_datum,Unnamed: 29
000271314,Servomotor,Onbekend,Onbekend,1.0,1448.86,1.0,289.772,289.772,0.0573417124288155,63.68251691915796,A,0.0005734171242881,0.6368251691915796,1.0,1.0,1.0,1.0,Uitgeschakeld,000271314,1638.98,Custom approved Racupack,Sigma Control B.V.,310-Electric motor," 819,49",0 dagen,10.0,0.0,2025-03-20,
BELTENDL-00000288,"Transport belt endless, VLV welded",3,Wear,1.0,1233.28,1.0,246.656,246.656,0.0488096759550333,68.69803053838555,A,0.0004880967595503,0.6869803053838555,1.0,1.0,1.0,1.0,Uitgeschakeld,BELTENDL-00000288,1640.7,Custom approved,YONGLI Nederland Wormer B.V.,350-Conveyor," 443,43",0 dagen,7.0,1.0,2024-05-02,
000586207,"Linear actuator, drive",1,Wear,1.0,1408.39,1.0,281.678,281.678,0.0557400262051678,64.58727697407743,A,0.0005574002620516,0.6458727697407742,1.0,1.0,1.0,1.0,Uitgeschakeld,000586207,1640.98,Custom Approved,Festo B.V.,330-Linear motion," 820,49",0 dagen,10.0,0.0,2024-08-27,
REDUAPE100#A,Gearbox,1,Critical,10.0,17580.93,8.0,3516.186,439.52325,0.0869753316651656,49.29599491774113,A,0.0008697533166516,0.4929599491774113,10.0,1.25,2.0,8.0,Uitgeschakeld,REDUAPE100#A,1641.6,Custom approved,Apex Dynamics B.V.,310-Electric motor,820.8,15 dagen,10.0,2.0,2025-07-31,
REDUPLAN-00000006,"Reductor, servo",2,Critical,6.0,7502.860000000001,6.0,1500.572,250.0953333333333,0.0494902705706167,68.2073316403579,A,0.0004949027057061,0.682073316403579,6.0,1.0,1.0,6.0,Uitgeschakeld,REDUPLAN-00000006,1641.6,Custom Approved,Apex Dynamics B.V.,370-Gear,820.8,15 dagen,10.0,1.0,2025-03-20,
BECK_CP2913-0000,Touch panel 12.1 inch,1,Critical,8.0,11449.79,7.0,2289.958,327.1368571428571,0.064735680421684,58.66173409110625,A,0.0006473568042168,0.5866173409110625,8.0,1.142857142857143,2.0,7.0,Uitgeschakeld,BECK_CP2913-0000,1643.28,Custom approved,Beckhoff Automation B.V.,630-Automation,821.64,21 dagen,10.0,1.0,2025-12-31,
BECK_CP2916-0000,"Touch panel 15,6 Inch - 1366x768",1,Critical,15.0,23803.51,13.0,4760.701999999999,366.2078461538461,0.0724672673803188,55.39432806182941,A,0.0007246726738031,0.5539432806182941,15.0,1.153846153846154,2.0,13.0,Uitgeschakeld,BECK_CP2916-0000,1643.28,Standard Approved,Beckhoff Automation B.V.,630-Automation,821.64,21 dagen,10.0,10.0,2026-04-22,
000515712,"Reductor, servo",2,Critical,2.0,2860.11,2.0,572.0219999999999,286.011,0.0565974646048546,64.25153858162777,A,0.0005659746460485,0.6425153858162777,2.0,1.0,1.0,2.0,Uitgeschakeld,000515712,1656.28,Custom Approved,Apex Dynamics B.V.,370-Gear," 828,14",0 dagen,10.0,0.0,2022-10-04,
REX_01-18AV20-B01,Servo Controller W0018-A-03-B-ET-EC-NN-L4-NN-FW,3,Wear,2.0,2771.74,2.0,554.348,277.174,0.0548487493641363,65.19483505185791,A,0.0005484874936413,0.6519483505185791,2.0,1.0,1.0,2.0,Uitgeschakeld,REX_01-18AV20-B01,1657.78,Custom approved,Bosch Rexroth B.V.,610-Motor control," 828,89",21 dagen,10.0,1.0,2024-11-12,
000589502,"Conveyor belt, welded",3,Wear,1.0,1332.24,1.0,266.448,266.448,0.0527262281836514,66.2175957410844,A,0.0005272622818365,0.662175957410844,1.0,1.0,1.0,1.0,Uitgeschakeld,000589502,1658.9,Custom Approved,YONGLI Nederland Wormer B.V.,350-Conveyor," 448,35",0 dagen,7.0,0.0,2023-08-18,
MOTSBERVRDM3913#A,"Motor, stepper",2,Critical,5.0,8035.08,5.0,1607.016,321.4032,0.063601072112216,59.43148769004919,A,0.0006360107211221,0.5943148769004919,5.0,1.0,1.0,5.0,Uitgeschakeld,MOTSBERVRDM3913#A,1674.0,Standard Approved,ABI B.V.,310-Electric motor,837,30 dagen,10.0,2.0,2025-10-07,
BELTENDL-00000700,"Conveyor belt, welded",3,Wear,4.0,6810.74,1.0,1362.148,1362.148,0.2695495040980018,16.43442921752882,A,0.00269549504098,0.1643442921752882,4.0,4.0,4.0,1.0,Uitgeschakeld,BELTENDL-00000700,1680.17,Custom Approved,YONGLI Nederland Wormer B.V.,350-Conveyor," 454,10",0 dagen,7.0,1.0,2024-07-24,
